# rounds;# its;best ilp;#unique cols;mipgap;ilp runtime;total runtime;;
100;1000;5748.008367;702;0;229.3034968;230.2129688;;
100;1000;5860.553925;641;2.3;300.0767841;300.4802004;;230
100;1000;6085.021862;635;1.5;300.170301;300.5823505;;150
100;1000;5923.946688;675;2.3;300.032104;300.4522468;;230
100;1000;5886.23906;695;0;249.1741381;249.5990952;;0
100;10000;5090.578581;521;5.7;300.0198519;301.032275;;570
100;10000;5051.777244;554;7.6;300.0285258;301.0467488;;760
100;10000;5143.531668;580;8.2;300.022423;301.0705299;;820
100;10000;5082.03405;533;6.4;300.0197721;301.0375609;;640
100;10000;5006.479382;551;7.1;300.0217021;301.0816282;;710
100;50000;4857.815421;592;11.6;300.057822;303.6381384;;1160
100;50000;4785.676297;566;10.5;300.02456;303.6188248;;1050
100;50000;4873.982556;579;13.4;300.0234618;303.6212135;;1340
100;50000;4876.339746;552;11.9;300.018775;303.5350932;;1190
100;50000;4871.590985;573;12.7;300.019582;303.663207;;1270
100;100000;4771.432361;593;12.8;300.0204401;306.8476782;;1280
100;100000;4665.351885;580;9.8;300.0171919;306.9218745;;980
100;100000;4823.730013;587;13.1;300.0158548;307.1245447;;1310
100;100000;4754.273626;580;11.3;300.015491;306.8392048;;1130
100;100000;4702.01772;614;10.9;300.0214942;307.2874798;;1090
100;500000;4875.859514;585;14.4;300.032203;331.7530617;;1440
100;500000;4716.440743;631;16.1;300.0138221;331.5428334;;1610
100;500000;4518.625708;619;9.3;300.0205791;332.5809766;;930
100;500000;4556.953764;627;9.8;300.0286961;332.2574439;;980
100;500000;4569.221956;637;10.8;300.025409;332.6290381;;1080
200;1000;5307.002872;1334;8.6;300.0274019;300.983894;;860
200;1000;5390.603904;1250;7;300.0339761;300.9955397;;700
200;1000;5305.894636;1260;7;300.0316629;300.9750661;;700
200;1000;5449.036153;1205;5.6;300.037627;301.0278428;;560
200;1000;5096.922191;1256;5.2;300.0299029;300.9860903;;520
200;10000;4806.245941;1034;17.2;300.013427;302.3241319;;1720
200;10000;4755.370343;1135;16.3;300.0181701;302.4725499;;1630
200;10000;4743.264209;1059;18.5;300.017102;302.4198697;;1850
200;10000;4902.859387;1088;17.4;300.014673;302.4447785;;1740
200;10000;4706.756915;1104;17;300.010823;302.4920842;;1700
200;50000;4465.709645;1214;16.6;300.009902;308.0448444;;1660
200;50000;4529.780303;1212;17.4;300.00685;307.8902457;;1740
200;50000;4565.350607;1184;18.9;300.0117559;307.9361047;;1890
200;50000;4511.267092;1216;18.4;300.0167139;308.0854201;;1840
200;50000;4441.272541;1235;16;300.010525;308.0157588;;1600
200;100000;4546.27832;1273;19.7;300.0089571;314.3401449;;1970
200;100000;4430.475788;1221;16.4;300.011796;314.8934558;;1640
200;100000;4398.584443;1210;13.6;300.032424;314.8277386;;1360
200;100000;4531.588112;1245;19.1;300.0130811;315.2716368;;1910
200;100000;4417.936947;1306;17.2;300.0178351;315.0008497;;1720
200;500000;4413.394204;1267;16.7;300.017781;369.4937836;;1670
200;500000;4419.328143;1306;18;300.0101609;369.5873756;;1800
200;500000;4345.296385;1286;17;300.017695;369.6561697;;1700
200;500000;4391.590296;1295;18.1;300.01212;369.3889916;;1810
200;500000;4486.657042;1269;18.8;300.009485;370.0463449;;1880
500;1000;5019.936468;2860;15.3;300.015518;302.587225;;1530
500;1000;5162.1337;2874;15.2;300.0147882;302.448968;;1520
500;1000;5121.204459;2807;16.7;300.0187411;302.4765213;;1670
500;1000;4988.984917;2847;13;300.0126848;302.5035893;;1300
500;1000;5122.102624;2799;13.9;300.0165;302.528955;;1390
500;10000;4437.723315;2764;16.7;300.0137861;306.1778842;;1670
500;10000;4408.341388;2888;17.1;300.0111489;306.2770423;;1710
500;10000;4485.680079;2882;18.4;300.0098441;306.4467507;;1840
500;10000;4616.089336;2781;20.5;300.025023;306.2213779;;2050
500;10000;4598.142034;2757;19.8;300.0139921;306.0827911;;1980
500;50000;4260.768127;3307;17.5;300.0135851;322.0155137;;1750
500;50000;4205.64381;3176;16.3;300.0077529;321.5583811;;1630
500;50000;4177.255304;3280;15.7;300.0113201;322.0958455;;1570
500;50000;4186.658488;3344;15.6;300.0105131;321.7818568;;1560
500;50000;4152.384068;3336;15.2;300.0153301;321.8932323;;1520
500;100000;4192.083287;3274;16.5;300.0102141;340.0491026;;1650
500;100000;4187.777179;3346;16.6;300.0136042;338.9951539;;1660
500;100000;4266.278331;3296;18;300.020993;341.5046257;;1800
500;100000;4177.197122;3212;16.1;300.0136752;339.3694482;;1610
500;100000;4134.147725;3350;15.6;300.022764;339.8204378;;1560
500;500000;4112.081522;3361;15.8;300.0095241;484.4147508;;1580
500;500000;4098.14703;3339;15.7;300.010783;482.680017;;1570
500;500000;4101.24453;3404;15.5;300.016531;476.5669963;;1550
500;500000;4091.790924;3364;15.4;300.0219901;482.4356153;;1540
500;500000;4135.589715;3403;16.8;300.0167558;485.1573815;;1680
