#rounds / 20;its;csp value;cost breakdown;unique cols;selected cols;dummy cols;hourly cost dummy cols;mipgap;mip time;total time
5;10000;320566.5833;(0, 0, 0, 0, 0, 0, 244.71666666666667, 169.05, 147.58333333333334, 68.55);214;44;3;292.5;0;75.22500014;76.159947
5;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.5);208;44;3;292.5;0;75.352;75.7834055
5;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.65);210;44;3;292.5;0;75.35100007;75.7342562
5;10000;320566.5833;(0, 0, 0, 0, 0, 0, 244.71666666666667, 169.05, 147.58333333333334, 68.4);207;44;3;292.5;0;75.26399994;75.6376642
5;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.21666666666667);208;44;3;292.5;0;75.30200005;75.6728376
5;50000;320566.5833;(0, 0, 0, 0, 0, 0, 244.71666666666667, 169.05, 147.58333333333334, 69.23333333333333);195;44;3;292.5;0;75.10399985;76.5782286
5;50000;321520.3333;(0, 0, 0, 0, 0, 0, 254.46666666666667, 176.48333333333332, 153.35, 70.33333333333333);190;47;3;292.5;9.36E-05;75.09299994;76.5620176
5;50000;321539.8333;(0, 0, 0, 0, 0, 0, 254.76666666666668, 175.55, 152.58333333333334, 71.48333333333333);190;47;3;292.5;0;75.07000017;76.5564306
5;50000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.66666666666667);198;44;3;292.5;0;75.0999999;76.583368
5;50000;320598;(0, 0, 0, 0, 0, 0, 245.2, 169.03333333333333, 147.56666666666666, 69.15);192;44;3;292.5;0;75.21099997;76.6985793
5;100000;320598;(0, 0, 0, 0, 0, 0, 245.2, 169.03333333333333, 147.56666666666666, 68.88333333333334);188;44;3;292.5;0;75.0940001;77.9308176
5;100000;320566.5833;(0, 0, 0, 0, 0, 0, 244.71666666666667, 169.05, 147.58333333333334, 68.23333333333333);197;44;3;292.5;0;75.09100008;77.9495083
5;100000;321531.1667;(0, 0, 0, 0, 0, 0, 254.63333333333333, 175.56666666666666, 152.6, 71.11666666666666);192;47;3;292.5;0;75.14899993;77.867807
5;100000;321407.6667;(0, 0, 0, 0, 0, 0, 252.73333333333332, 174.73333333333332, 151.96666666666667, 70.61666666666666);194;47;3;292.5;0;75.0710001;77.9972787
5;100000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.36666666666666);191;44;3;292.5;0;75.06799984;77.9311219
5;500000;321653.5833;(0, 0, 0, 0, 0, 0, 256.51666666666665, 175.68333333333334, 152.65, 73.18333333333334);188;47;3;292.5;0;75.06999993;88.6245632
5;500000;321563.6667;(0, 0, 0, 0, 0, 0, 255.13333333333333, 175.55, 152.58333333333334, 72.01666666666667);188;47;3;292.5;0;75.03499985;89.374945
5;500000;321596.1667;(0, 0, 0, 0, 0, 0, 255.63333333333333, 175.55, 152.58333333333334, 71.86666666666666);192;47;3;292.5;0;75.05200005;88.9398792
5;500000;321533.3333;(0, 0, 0, 0, 0, 0, 254.66666666666666, 175.66666666666666, 152.7, 71.6);192;47;3;292.5;0;75.06999993;89.4307278
5;500000;320840.6667;(0, 0, 0, 0, 0, 0, 248.93333333333334, 170.81666666666666, 148.91666666666666, 70.86666666666666);191;44;3;292.5;0;75.06700015;89.2901521
5;1000000;321520.3333;(0, 0, 0, 0, 0, 0, 254.46666666666667, 176.48333333333332, 153.35, 70.03333333333333);188;47;3;292.5;0;75.05999994;102.506142
