# rounds;int vsp value;int csp value;int vsp cols;int csp cols;int vsp selected cols;int csp selected cols;mipgap;mip runtime;total runtime;total cost;cost delta;rounded vsp;rounded csp
0;3615.338582;12178.16667;39146;11480;11;21;7.50E-11;232.483355;238.3790441;15793.5;0;3615.3;12178.2
1;3615.338582;12178.16667;46308;12113;11;21;0;237.6008191;357.7145609;15793.5;0;3615.3;12178.2
1;3615.338582;12178.16667;45611;11645;11;21;5.71E-11;245.4783101;345.4400126;15793.5;0;3615.3;12178.2
1;3615.338582;12178.16667;45503;11711;11;21;1.00E-05;239.7864509;345.4104792;15793.5;0;3615.3;12178.2
1;3615.338582;12178.16667;45148;11945;11;21;1.14E-05;241.962038;346.7627591;15793.5;0;3615.3;12178.2
1;3615.338582;12178.16667;45615;11922;11;21;1.12E-05;240.6699469;351.9257817;15793.5;0;3615.3;12178.2
1;3592.513626;12178.16667;44588;11818;11;21;0;242.43238;353.6870958;15770.7;0.1;3592.5;12178.2
1;3615.338582;12178.16667;45911;11707;11;21;1.84E-05;243.730211;345.0220327;15793.5;0;3615.3;12178.2
1;3615.338582;12178.16667;45078;11792;11;21;8.33E-11;248.6128688;350.7054161;15793.5;0;3615.3;12178.2
1;3615.338582;12178.16667;43665;11793;11;21;0;234.9706011;338.9335517;15793.5;0;3615.3;12178.2
1;3615.338582;12178.16667;45492;11787;11;21;9.18E-06;246.2332439;348.6302158;15793.5;0;3615.3;12178.2
2;3615.338582;12178.16667;48316;11894;11;21;0;239.410358;435.967865;15793.5;0;3615.3;12178.2
2;3592.91337;12043.33333;48931;11828;11;21;7.50E-11;235.3645461;437.4219571;15636.2;1;3592.9;12043.3
2;3615.338582;12178.16667;49010;11875;11;21;0;248.353533;447.997018;15793.5;0;3615.3;12178.2
2;3592.91337;12043.33333;48425;12391;11;21;5.80E-11;240.532331;446.0148878;15636.2;1;3592.9;12043.3
2;3615.338582;12178.16667;50072;11946;11;21;8.01E-05;244.473738;447.1443781;15793.5;0;3615.3;12178.2
2;3615.338582;12178.16667;49587;12010;11;21;7.76E-05;240.0884631;451.0525736;15793.5;0;3615.3;12178.2
2;3615.338582;12178.16667;50197;12011;11;21;9.61E-06;242.67065;448.2276807;15793.5;0;3615.3;12178.2
2;3615.338582;12178.16667;49547;12314;11;21;8.01E-05;246.4892581;466.4663497;15793.5;0;3615.3;12178.2
2;3615.338582;12178.16667;48853;12125;11;21;8.01E-05;242.8607368;445.1029543;15793.5;0;3615.3;12178.2
2;3615.338582;12178.16667;49329;12164;11;21;8.01E-05;240.7791359;454.97123;15793.5;0;3615.3;12178.2
3;3615.338582;12178.16667;50988;12108;11;21;1.85E-06;252.1222079;545.1633638;15793.5;0;3615.3;12178.2
3;3615.338582;12178.16667;52984;12151;11;21;8.00E-11;255.8173912;567.5924369;15793.5;0;3615.3;12178.2
3;3615.338582;12178.16667;51914;12217;11;21;4.10E-11;236.2878001;544.1568234;15793.5;0;3615.3;12178.2
3;3592.513626;12178.16667;51026;12006;11;21;0;237.303226;531.3268287;15770.7;0.1;3592.5;12178.2
3;3592.513626;12178.16667;51706;12300;11;21;5.69E-11;246.7461989;556.0473232;15770.7;0.1;3592.5;12178.2
3;3615.338582;12178.16667;51006;12445;11;21;4.83E-11;247.5409529;561.9127325;15793.5;0;3615.3;12178.2
3;3615.338582;12178.16667;50170;12233;11;21;5.15E-11;244.292115;545.8747293;15793.5;0;3615.3;12178.2
3;3615.338582;12178.16667;51528;12212;11;21;9.69E-06;237.9564888;560.700474;15793.5;0;3615.3;12178.2
3;3615.338582;12178.16667;52255;12189;11;21;7.62E-05;236.626096;550.2070782;15793.5;0;3615.3;12178.2
3;3615.338582;12178.16667;50945;12221;11;21;0;246.2090831;542.4031725;15793.5;0;3615.3;12178.2
4;3615.338582;12178.16667;53106;12233;11;21;8.01E-05;240.949101;651.5644824;15793.5;0;3615.3;12178.2
4;3615.338582;12178.16667;51293;12930;11;21;6.00E-05;238.012393;639.0179207;15793.5;0;3615.3;12178.2
4;3799.109015;11819.25;54904;12944;12;20;9.11E-05;257.3113861;674.2778813;15618.4;1.1;3799.1;11819.3
4;3615.338582;12178.16667;52951;12320;11;21;0;240.9108431;635.7038567;15793.5;0;3615.3;12178.2
4;3615.338582;12178.16667;54413;12232;11;21;1.19E-05;237.4897041;660.7400222;15793.5;0;3615.3;12178.2
4;3592.91337;12006.5;51117;12705;11;21;7.50E-11;242.126116;638.0088538;15599.4;1.2;3592.9;12006.5
