max vh cols;max cr colsint vsp value;int csp value;int vsp cols;int csp cols;int vsp selected cols;int csp selected cols;mipgap;mip runtime;total runtime
500;500;3386.353620650424;12947.666666666668;621;2264;10;22;0;150.2927589416504;224.1110932
500;500;3386.353620650424;13152.166666666668;605;2262;10;22;0;150.45815992355347;273.1086389
500;500;3386.353620650424;12876.166666666668;609;2261;10;22;0;150.32430386543274;218.7797542
500;500;3386.353620650424;13080.666666666666;598;2263;10;22;0;150.2886619567871;224.9310072
500;500;3386.353620650424;12692.500000000002;589;2261;10;22;3.1034272405436583E-09;150.1025469303131;214.7914485
500;2500;3386.353620650424;12793.833333333332;584;4259;10;22;6.667070365470697E-11;151.06893396377563;238.6533264
500;2500;3386.353620650424;12593.416666666668;586;4261;10;22;6.667090759166578E-11;151.62986493110657;248.811147
500;2500;3386.353620650424;12869.666666666668;564;4283;10;22;7.500480540522251E-11;152.45434594154358;261.5822157
500;2500;3386.353620650424;12798.166666666668;568;4266;10;22;0;152.05250191688538;264.1848985
500;2500;3386.353620650424;12455.500000000002;583;4273;10;21;0;152.64080214500427;263.0564959
500;5000;3386.353620650424;12423;515;6800;10;21;6.667093764007718E-11;153.60177302360535;286.0405249
500;5000;3386.353620650424;12397;526;6847;10;21;0;151.39819812774658;276.0573289
500;5000;3386.353620650424;12412.500000000002;508;7022;10;22;0;152.83740305900574;287.9887548
500;5000;3389.377647890536;12660;516;6799;10;22;0;151.53810715675354;273.5523431
500;5000;3386.353620650424;12547.916666666666;514;6810;10;22;0;154.59402108192444;292.7757055
500;10000;3386.353620650424;12280;503;10122;10;21;0;151.15314412117004;294.2655615
500;10000;3386.353620650424;12497.000000000002;514;8947;10;22;7.500487751339562E-11;153.2103569507599;268.1150979
500;10000;3602.525917362288;12150.499999999998;509;10185;11;21;0;153.15297079086304;261.36049
500;10000;3386.353620650424;12294.083333333336;510;10761;10;21;0;153.77898597717285;278.3901583
500;10000;3386.353620650424;12270.25;501;11298;10;21;4.780943506596396E-05;152.72413802146912;296.7565356
500;25000;3386.353620650424;12678.416666666668;526;7478;10;22;4.9553087219227075E-11;152.62722301483154;261.5689661
500;25000;3386.353620650424;12313.916666666666;505;11403;10;22;0;164.70909810066223;301.89034
500;25000;3386.353620650424;12649.750000000002;528;8612;10;22;6.66708249022473E-11;150.79251098632812;265.1291577
500;25000;3386.353620650424;12385.083333333332;506;12059;10;21;0;156.3257179260254;301.9635364
500;25000;3386.353620650424;12629.666666666666;528;7556;10;22;5.1114002729924795E-06;151.00240898132324;263.9313177
