# attempts;# subdivs;value;#unique cols;mipgap;runtime
0;4;3144.4706999555556;3436;0.011885135074469685;10.003042936325073
0;8;3144.4706999555556;3436;0.012398186617385327;10.004706144332886
0;12;3144.4706999555556;3436;0.012916398274257506;10.002824068069458
0;16;3144.4706999555556;3436;0.012884206743846027;10.002360820770264
1;4;3149.3716029777775;5631;0.028050009041213502;10.016308069229126
1;8;3149.3716029777775;5631;0.02807320684761661;10.004804134368896
1;12;3149.3716029777775;5631;0.02807320684761661;10.004127025604248
1;16;3149.3716029777775;5631;0.02807320684761661;10.005346059799194
2;4;3145.8615376;6372;0.034213645752631514;10.004062175750732
2;8;3145.8615376;6372;0.034213645752631514;10.005402088165283
2;12;3145.8615376;6372;0.034213645752631514;10.007208824157715
2;16;3145.8615376;6372;0.0340453956049773;10.003998041152954
4;4;3105.699154088889;15247;0.0401240510554392;10.014023065567017
4;8;3105.699154088889;15247;0.0401240510554392;10.013887166976929
4;12;3105.699154088889;15247;0.0401240510554392;10.01849913597107
4;16;3105.699154088889;15247;0.0401240510554392;10.011539936065674
8;4;3166.321948133333;12625;0.052131054214112085;10.015916109085083
8;8;3166.321948133333;12625;0.052131054214112085;10.014422178268433
8;12;3155.063527733333;12625;0.05017948569438262;10.01341199874878
8;16;3155.063527733333;12625;0.05017948569438262;10.013048887252808
16;4;3126.360543777778;15710;0.04300793956683242;10.024909973144531
